date,mention,score,Color
2022-04-01 00:00:00-05:00,3855,-0.2516083333333334,red
2022-04-02 00:00:00-05:00,2227,-0.18286666666666665,red
2022-04-03 00:00:00-05:00,2299,-0.17565416666666667,red
2022-04-04 00:00:00-05:00,4555,-0.2248416666666667,red
2022-04-05 00:00:00-05:00,4133,-0.2249833333333333,red
2022-04-06 00:00:00-05:00,4250,-0.33755,red
2022-04-07 00:00:00-05:00,3813,-0.26689583333333333,red
2022-04-08 00:00:00-05:00,3788,-0.22045416666666665,red
2022-04-09 00:00:00-05:00,1859,-0.18123750000000002,red
2022-04-10 00:00:00-05:00,2252,-0.17609583333333334,red
2022-04-11 00:00:00-05:00,4255,-0.34931666666666666,red
2022-04-12 00:00:00-05:00,4615,-0.35235,red
2022-04-13 00:00:00-05:00,4786,-0.2856916666666667,red
2022-04-14 00:00:00-05:00,4403,-0.2830333333333333,red
2022-04-15 00:00:00-05:00,3034,0.02611304347826087,green
2022-04-16 00:00:00-05:00,1856,-0.07881666666666666,red
2022-04-17 00:00:00-05:00,2702,-0.19640416666666669,red
2022-04-18 00:00:00-05:00,4785,-0.3188666666666667,red
2022-04-19 00:00:00-05:00,6823,-0.28985833333333333,red
2022-04-20 00:00:00-05:00,6508,-0.42612083333333334,red
2022-04-21 00:00:00-05:00,6456,-0.41005833333333336,red
2022-04-22 00:00:00-05:00,5317,-0.4163041666666667,red
2022-04-23 00:00:00-05:00,3829,-0.1931166666666667,red
2022-04-24 00:00:00-05:00,5234,-0.15886250000000002,red
2022-04-25 00:00:00-05:00,6393,-0.23482499999999998,red
2022-04-26 00:00:00-05:00,6143,-0.345375,red
2022-04-27 00:00:00-05:00,5970,-0.31934999999999997,red
2022-04-28 00:00:00-05:00,14916,-0.48728333333333335,red
2022-04-29 00:00:00-05:00,6774,-0.45003750000000003,red
2022-04-30 00:00:00-05:00,2627,-0.4542916666666666,red
2022-05-01 00:00:00-05:00,2734,-0.30514583333333334,red
2022-05-02 00:00:00-05:00,5236,-0.4035583333333333,red
2022-05-03 00:00:00-05:00,4728,-0.31765,red
2022-05-04 00:00:00-05:00,5069,-0.281875,red
2022-05-05 00:00:00-05:00,5591,-0.5155958333333334,red
2022-05-06 00:00:00-05:00,6071,-0.4683833333333333,red
2022-05-07 00:00:00-05:00,3372,-0.22765416666666669,red
2022-05-08 00:00:00-05:00,4776,-0.4074125,red
2022-05-09 00:00:00-05:00,5805,-0.4620166666666667,red
2022-05-10 00:00:00-05:00,4743,-0.32030833333333336,red
2022-05-11 00:00:00-05:00,7398,-0.37366666666666665,red
2022-05-12 00:00:00-05:00,7699,-0.5033500000000001,red
2022-05-13 00:00:00-05:00,5357,-0.3983916666666667,red
